config,depth,fused_auroc_mean,fused_auroc_std,fused_acc_mean,fused_acc_std,fused_f1_mean,fused_f1_std,cev_auroc_mean,cev_auroc_std,iav_auroc_mean,iav_auroc_std,total_params
L9 (early),1,0.8103180883051117,0.013116111258635266,0.7329166666666667,0.022232202619923484,0.6915331075045924,0.022511960171440953,0.8004072374320832,0.010384529115308865,0.7907791317191538,0.014561040897622933,4262660
L27 (late),1,0.8417323416152346,0.015218225826460216,0.7670833333333333,0.024441682293437423,0.7233574382639422,0.03858493713966326,0.8364066044205307,0.017438044893583932,0.8265843751648467,0.014443841692918255,4262660
L18 (mid),1,0.8465622197605107,0.022693837676548773,0.765,0.023750000000000025,0.7380256048129888,0.018542848115924927,0.8348114153083294,0.019388612804467402,0.8349970986970513,0.018543453624431428,4262660
L9+L27,2,0.836421374690088,0.01591576992805057,0.75625,0.015360257159305621,0.7226111092836667,0.022473714575872036,0.8292345835311495,0.016311494307765212,0.8253732130611384,0.012980425652013017,8456964
L9+L18,2,0.8417492219233002,0.023646326449739144,0.76125,0.026604745817240948,0.7245857000126,0.021743768859849633,0.826305850081764,0.02728397511335575,0.8318700216278946,0.01582182279921465,8456964
L18+L27,2,0.8515398006013609,0.01487773200590909,0.7641666666666667,0.016786030898736395,0.7395103839458352,0.024798750458108684,0.8388331487049637,0.018435206085607943,0.8445450229466687,0.014892580227891203,8456964
L9+L18+L27,3,0.8426713087513846,0.01855374218865736,0.7620833333333333,0.006884463184107647,0.7288937442856008,0.011270084841160483,0.8322012976736826,0.01958543037157312,0.8320535949781084,0.013549453817133492,12651268
