seed,config,depth,cev_auroc,iav_auroc,fused_auroc,fused_acc,fused_f1,total_params
42,L9 (early),1,0.8113688874821965,0.8019433454660547,0.8195220762778921,0.7375,0.6974063400576369,4262660
42,L18 (mid),1,0.8516980534894761,0.8474758664345625,0.8657065991454345,0.785,0.7556818181818182,4262660
42,L27 (late),1,0.8483684127235323,0.8344168381072954,0.8540022155404335,0.7875,0.7492625368731564,4262660
42,L9+L18,2,0.8521601519227725,0.8451084032283589,0.8607437885741415,0.785,0.7440476190476191,8456964
42,L9+L27,2,0.8438043994302895,0.833391359392309,0.8488431713878778,0.7675,0.7357954545454546,8456964
42,L18+L27,2,0.8536350688400063,0.8548884317138787,0.861800917866751,0.77125,0.7510204081632653,8456964
42,L9+L18+L27,3,0.8451463839215066,0.8409685076752651,0.8560341826238328,0.7625,0.7262247838616714,12651268
43,L9 (early),1,0.790716885583162,0.774309226143377,0.7952998892229783,0.70875,0.6666666666666666,4262660
43,L18 (mid),1,0.8136382338977686,0.8136888748219655,0.8214939072638076,0.73875,0.7187079407806191,4262660
43,L27 (late),1,0.8163981642664979,0.809916125969299,0.824703275834784,0.74,0.6790123456790124,4262660
43,L9+L18,2,0.7977876246241493,0.8143472068365247,0.815265073587593,0.7325,0.7011173184357542,8456964
43,L9+L27,2,0.811612596929894,0.8103972147491691,0.818480772274094,0.73875,0.6966618287373004,8456964
43,L18+L27,2,0.8181832568444374,0.8274758664345625,0.8344769742047793,0.745,0.7110481586402266,8456964
43,L9+L18+L27,3,0.8096692514638393,0.8164614654217439,0.821487577148283,0.755,0.7191977077363897,12651268
44,L9 (early),1,0.799135939230891,0.7960848235480298,0.8161322994144644,0.7525,0.7105263157894737,4262660
44,L18 (mid),1,0.8390979585377434,0.8438265548346258,0.8524861528722899,0.77125,0.7396870554765291,4262660
44,L27 (late),1,0.8444532362715619,0.835420161417946,0.8464915334704859,0.77375,0.7417974322396577,4262660
44,L9+L18,2,0.82896977369837,0.8361544548188004,0.849238803608166,0.76625,0.7285921625544267,8456964
44,L9+L27,2,0.8322867542332648,0.8323310650419371,0.8419401804082924,0.7625,0.7353760445682451,8456964
44,L18+L27,2,0.8446811204304479,0.851270770691565,0.8583415097325525,0.77625,0.7564625850340136,8456964
44,L9+L18+L27,3,0.8417882576357019,0.838730811837316,0.8504921664820382,0.76875,0.7412587412587412,12651268
