config,depth,fused_auroc_mean,fused_auroc_std,fused_acc_mean,fused_acc_std,fused_f1_mean,fused_f1_std,cev_auroc_mean,cev_auroc_std,iav_auroc_mean,iav_auroc_std,total_params
L8 (early),1,0.8086110671519755,0.011576358027007938,0.7275,0.013169567191065946,0.6868455413348644,0.01919863210985104,0.803319090573403,0.008578109052615978,0.7998354169963603,0.018255922849825183,4786948
L24 (late),1,0.8209147016933058,0.011622519188503993,0.7416666666666666,0.01769239478796847,0.7065227182852613,0.015652646156328446,0.8173656169225089,0.009208911832435215,0.8101619454555046,0.013742690401632125,4786948
L16 (mid),1,0.8371472279369098,0.011160276570639276,0.7595833333333334,0.0071078008788466466,0.7285607023587546,0.00744117906533419,0.8298380545444953,0.013591413410003493,0.8242074167853563,0.01159896267223599,4786948
L8+L24,2,0.8268354697473229,0.02052064518784195,0.7504166666666666,0.018970920729720325,0.7128502281753056,0.018102852067389468,0.8221596244131456,0.02004584288529814,0.816441420055916,0.022706061370826723,9505540
L8+L16,2,0.8283546974732289,0.016192741229555475,0.7429166666666666,0.011342214657346843,0.7026990666967867,0.01057304089886347,0.8210223136572242,0.01784412213395858,0.8224170491111463,0.019260114896252893,9505540
L16+L24,2,0.8355836894023315,0.014092134662713404,0.7541666666666668,0.014049762750072777,0.7171807560000598,0.0129178982172892,0.8289623885635913,0.01941755645747301,0.8298042939283642,0.013355622083303358,9505540
L8+L16+L24,3,0.8305153769056286,0.013635340796180399,0.7416666666666667,0.018214577495328663,0.7049037073998462,0.016004804023253265,0.8260610856148126,0.014475382938855029,0.8256897188373689,0.012122105256309211,14224132
