seed,config,depth,cev_auroc,iav_auroc,fused_auroc,fused_acc,fused_f1,total_params
42,L8 (early),1,0.8052729862319987,0.8077227409400223,0.8115018199082134,0.72875,0.6990291262135923,4786948
42,L16 (mid),1,0.8441019148599461,0.8340275360025321,0.8486216173445165,0.7575,0.7371273712737128,4786948
42,L24 (late),1,0.8254470644089253,0.8220794429498339,0.8298085140053806,0.75125,0.7208976157082749,4786948
42,L8+L16,2,0.8344041778762462,0.8342522551036555,0.8372907105554677,0.7475,0.7097701149425287,9505540
42,L8+L24,2,0.8376831777179934,0.8309416046842855,0.8407089729387562,0.75375,0.7197724039829303,9505540
42,L16+L24,2,0.8468555151131507,0.8422788415888589,0.8483494223769584,0.7575,0.7275280898876404,9505540
42,L8+L16+L24,3,0.8379490425700269,0.8320050640924197,0.8398860579205571,0.74375,0.7016011644832606,14224132
43,L8 (early),1,0.7939325842696628,0.7789618610539643,0.7958632695046683,0.71375,0.664714494875549,4786948
43,L16 (mid),1,0.8170375059344833,0.8114100332331063,0.8263301155246083,0.75375,0.7237026647966339,4786948
43,L24 (late),1,0.8073397689507833,0.7951289761038141,0.807763886690932,0.72125,0.6898470097357441,4786948
43,L8+L16,2,0.8007627789207153,0.8001930685235007,0.8096629213483146,0.73,0.6905444126074498,9505540
43,L8+L24,2,0.7995284063934167,0.7902737774964392,0.8032631745529357,0.73,0.6923076923076923,9505540
43,L16+L24,2,0.808314606741573,0.8157145117898401,0.8204620984332964,0.73875,0.7027027027027027,9505540
43,L8+L16+L24,3,0.8099414464313974,0.8117138787782878,0.8148726064250673,0.7225,0.6908077994428969,14224132
44,L8 (early),1,0.8107517012185472,0.8128216489950941,0.8184681120430448,0.74,0.6967930029154519,4786948
44,L16 (mid),1,0.8283747428390569,0.8271846811204304,0.8364899509416046,0.7675,0.7248520710059172,4786948
44,L24 (late),1,0.8193100174078178,0.813277417312866,0.825171704383605,0.7525,0.7088235294117647,4786948
44,L8+L16,2,0.8278999841747112,0.8328058237062826,0.8381104605159044,0.75125,0.7077826725403817,9505540
44,L8+L24,2,0.8292672891280266,0.8281088779870233,0.8365342617502768,0.7675,0.7264705882352941,9505540
44,L16+L24,2,0.83171704383605,0.8314195284063934,0.8379395473967399,0.76625,0.7213114754098361,9505540
44,L8+L16+L24,3,0.8302927678430132,0.8333502136413989,0.8367874663712613,0.75875,0.7223021582733813,14224132
