config,depth,fused_auroc_mean,fused_auroc_std,fused_acc_mean,fused_acc_std,fused_f1_mean,fused_f1_std,cev_auroc_mean,cev_auroc_std,iav_auroc_mean,iav_auroc_std,total_params
L8 (early),1,0.7997594556100648,0.007784294040921391,0.7287500000000001,0.0021650635094610507,0.6879244585297011,0.015527547822923564,0.7923447802922402,0.014378763825298315,0.7886142322097379,0.00542414292280738,4786948
L24 (late),1,0.8046906156037347,0.007057148391947831,0.7291666666666666,0.002602082499332673,0.6896733687676154,0.011332816603328464,0.7984005908107822,0.006941344984600534,0.7963918341509734,0.008487446301615978,4786948
L16 (mid),1,0.8232589544759191,0.00497692258427402,0.73875,0.006959705453537464,0.7117651046119584,0.007285503730217197,0.8178013398744527,0.008929466762431277,0.8092968296671414,0.0036201403448483747,4786948
L8+L24,2,0.80468428548821,0.010595953035226946,0.7283333333333334,0.012644992421244594,0.6811852949223337,0.02413347415821931,0.7992129556364403,0.008337471269732496,0.7963686237273832,0.009982684671677174,9505540
L16+L24,2,0.815025584216912,0.004791569576605525,0.7366666666666667,0.005051814855409246,0.6955833573181663,0.0031060645526733988,0.8089486733132879,0.00890513754753058,0.8052961966555889,0.007294385193306135,9505540
L8+L16,2,0.8210349738882735,0.007762160103803784,0.74375,0.0033071891388307727,0.699941805980035,0.01085823593098677,0.8125272986231998,0.013405494825302454,0.8064166271034446,0.011976404732897492,9505540
L8+L16+L24,3,0.817918447011658,0.0036531023932493134,0.7354166666666666,0.008036375634160856,0.696532077996126,0.00688906559760608,0.8098180091786675,0.0075073829096787515,0.8058954475919186,0.010065949761118251,14224132
