config,depth,fused_auroc_mean,fused_auroc_std,fused_acc_mean,fused_acc_std,fused_f1_mean,fused_f1_std,cev_auroc_mean,cev_auroc_std,iav_auroc_mean,iav_auroc_std,total_params
L8 (early),1,0.8112718257108192,0.005556075074124427,0.7291666666666666,0.008133008873309703,0.694286913274255,0.007086334268966239,0.8058659070528037,0.00775830249971172,0.7950519596982645,0.0029997039836796927,4786948
L24 (late),1,0.8156058448066678,0.009265714212218829,0.7312500000000001,0.014415703243338535,0.6928017498443614,0.01285314190218294,0.8103898296143904,0.012185228357844179,0.8083578625309912,0.007859324915809925,4786948
L16 (mid),1,0.8306166587540224,0.012936727616185008,0.7491666666666666,0.01937835992372252,0.7159275154983309,0.017923463292439074,0.8246958907000052,0.0162180241534409,0.817378277153558,0.011071852651937605,4786948
L8+L24,2,0.8214379912433403,0.013037476618684138,0.74625,0.014415703243338482,0.7081962016593621,0.016499984281418613,0.8144263332805824,0.01744202971106191,0.8104024898454396,0.011875409901997374,9505540
L16+L24,2,0.8261264968085668,0.015525121736806905,0.75,0.01520690632574553,0.7096683943381783,0.02513283860615053,0.8213578097800286,0.017684442109683528,0.818616869757873,0.010778775565535206,9505540
L8+L16,2,0.8274220604526032,0.01440028135853694,0.7545833333333333,0.016313976625376585,0.7181774300730003,0.021421537524561107,0.8207058078809938,0.01732775413494161,0.8161143640871447,0.016954900503923433,9505540
L8+L16+L24,3,0.8278229677691619,0.008301193120997,0.7441666666666666,0.01127312438205723,0.7047525260911546,0.011906571709887565,0.8188531940707917,0.009491170931192177,0.8159856517381442,0.009365721099910908,14224132
