seed,config,depth,cev_auroc,iav_auroc,fused_auroc,fused_acc,fused_f1,total_params
42,L8 (early),1,0.8119607532837475,0.7952302579522077,0.8136762145909162,0.72125,0.6863572433192686,4786948
42,L16 (mid),1,0.828064567178351,0.8141319829086879,0.8293875613229941,0.74875,0.7124463519313304,4786948
42,L24 (late),1,0.8147713245766735,0.8117012185472385,0.8176325367937964,0.73625,0.6998577524893315,4786948
42,L8+L16,2,0.8337236904573508,0.8235322044627316,0.8353758506092737,0.76,0.723342939481268,9505540
42,L8+L24,2,0.8304890014242761,0.8203291660072796,0.8328121538218072,0.75125,0.7136690647482015,9505540
42,L16+L24,2,0.8275708181674316,0.8269947776546922,0.8325209685076752,0.7425,0.7057142857142857,9505540
42,L8+L16+L24,3,0.8203798069314765,0.8196455135306219,0.8255135306219339,0.745,0.6964285714285714,14224132
43,L8 (early),1,0.7971324576673524,0.791967083399272,0.8049184997626206,0.72875,0.6965034965034965,4786948
43,L16 (mid),1,0.8070580788099383,0.8082924513372369,0.8183383446747905,0.73,0.7,4786948
43,L24 (late),1,0.7966197183098592,0.7993796486785882,0.80549454027536,0.715,0.6779661016949152,4786948
43,L8+L16,2,0.8010381389460357,0.7967146700427284,0.8107991770849817,0.73625,0.6946454413892909,9505540
43,L8+L24,2,0.7958727646779554,0.7972463997467953,0.807210001582529,0.73,0.6896551724137931,9505540
43,L16+L24,2,0.8014052856464631,0.8064567178351004,0.8084253837632538,0.74,0.6867469879518072,9505540
43,L8+L16+L24,3,0.8086912486152872,0.8053426175027695,0.8209210318088306,0.7325,0.699438202247191,14224132
44,L8 (early),1,0.8085045102073113,0.7979585377433138,0.8152207627789207,0.7375,0.7,4786948
44,L16 (mid),1,0.8389650261117265,0.8297103972147492,0.8441240702642824,0.76875,0.7353361945636624,4786948
44,L24 (late),1,0.8197784459566386,0.8139927203671468,0.8236904573508466,0.7425,0.7005813953488372,4786948
44,L8+L16,2,0.8273555942395948,0.8280962177559741,0.8360911536635544,0.7675,0.7365439093484419,9505540
44,L8+L24,2,0.8169172337395157,0.8136319037822441,0.8242918183256844,0.7575,0.7212643678160919,9505540
44,L16+L24,2,0.8350973255261909,0.8223991137838266,0.8374331381547713,0.7675,0.7365439093484419,9505540
44,L8+L16+L24,3,0.8274885266656116,0.8229688241810412,0.837034340876721,0.755,0.7183908045977011,14224132
